id	age	localisation	csp_student	csp_active	csp_other	subscription	travel_hour	weather_good	weather_mean	weather_hardcore	distance	expected_time_bus	expected_time_vlib	comfort_bus_good	comfort_bus_mean	comfort_bus_hardcore	time_bus	distance_vlib	parking_vlib	choice
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	0	1	0	15	1	1	2
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	0	1	0	15	5	5	1
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	0	0	1	5	1	5	2
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	0	1	0	0	10	10	1
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	1	0	0	5	1	5	1
44	23	200	1	0	0	0	19	0	1	0	1000	8	8	0	0	1	0	5	5	2
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	0	1	0	1	10	2
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	0	1	15	1	1	2
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	1	0	0	1	5	2
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	0	1	0	10	5	2
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	1	0	5	5	5	1
45	20	20	1	0	0	0	18	0	1	0	2000	22	22	0	1	0	5	10	1	2
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	0	1	0	5	5	10	2
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	1	0	0	0	5	10	1
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	1	0	0	0	1	1	2
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	0	1	0	5	1	1	2
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	1	0	0	15	5	1	2
46	22	10	1	0	0	0	7	1	0	0	5000	15	15	1	0	0	5	5	5	2
